,Fname,Fsize(MB),Fwight,PQSDC,7-Zip,PIGZ,PBzip2,ZPAQ,CMIC,LCQS,AQUa,FCLQC,Qscomp,QVZ
0,SRR8386204,1927.146,0.08,6880.95703125,7242.2109375,361.19921875,243.0859375,24436.6328125,12743.453125,8604.0859375,1780.46484375,195.30859375,22755.14453125,2312.609375
1,SRR8386224,1750.252,0.073,192.73828125,6428.578125,374.73828125,244.8203125,23464.3984375,11716.6953125,8776.5390625,1771.0234375,177.72265625,22013.33984375,2259.03125
2,SRR8386225,1832.732,0.076,7051.80859375,6934.10546875,328.19140625,243.22265625,24302.75390625,12356.47265625,8582.2421875,1906.05859375,187.1875,22585.71484375,2254.7578125
3,ERR7091256_1,2997.123,0.124,3027.140625,10149.1484375,185.75390625,122.390625,20138.90234375,4298.58984375,3327.0625,1027.49609375,273.41015625,22679.74609375,2929.859375
4,ERR7091268_1,3110.391,0.129,3664.65234375,10663.37109375,183.0625,155.953125,20522.63671875,5075.52734375,3978.68359375,1045.30078125,285.8984375,23141.234375,2446.55078125
5,SRR013951,2674.785,0.111,23017.6484375,10519.109375,446.46484375,260.203125,24993.03515625,25230.19140625,8204.3359375,1670.2109375,261.90234375,24958.890625,2361.1953125
6,SRR027520,3561.01,0.148,22741.265625,13257.7734375,407.234375,246.4296875,26341.4140625,25612.47265625,8900.25390625,1929.5859375,361.49609375,25242.21484375,3014.12890625
7,SRR554369,319.376,0.013,1671.26953125,1591.51171875,280.640625,236.19921875,4346.79296875,2674.74609375,4006.3125,827.7421875,44.67578125,5819.21484375,415.34375
8,SRR17794741,471.301,0.02,1775.4140625,1795.6796875,299.8203125,245.62109375,6137.15234375,3407.203125,5273.4140625,872.7890625,82.52734375,8474.171875,591.421875
9,SRR17794724,448.846,0.019,1831.859375,1759.5859375,325.54296875,243.7109375,5999.54296875,2989.0859375,5792.2734375,921.2421875,76.30078125,8103.00390625,565.37890625
10,SRR12175235,5004.899,0.208,11853.328125,12079.19140625,218.50390625,204.34375,21403.30078125,16051.359375,5023.484375,2050.58984375,415.93359375,25991.63671875,1818.609375
11,avg-mean,2190.715,0.091,7609.826,7492.751,310.105,222.362,18371.506,11105.072,6406.244,1436.591,214.76,19251.301,1906.262
12,avg_up(%),0.0,0.0,0.0,-1.563,-2353.951,-3322.269,58.578,31.474,-18.788,-429.714,-3443.409,60.471,-299.201
13,weight-mean,3079.25,0.128,10418.345,9936.534,298.557,211.282,22061.799,14076.386,6438.903,1620.31,286.173,23236.485,2313.483
14,wavg_up(%),0.0,0.0,0.0,-4.849,-3389.566,-4831.014,52.777,25.987,-61.803,-542.985,-3540.576,55.164,-350.332
