CPU-Cores,CTime(S),Cmem(KB),CFsize(B),bit/base,ratio,DTime(S),Dmem(KB)
PQSDC(Pr=1),7450.001,980524,1414307840,3.069,2.640,5600.001,871300
PQSDC(Pr=2),4114.001,2008304,1414307840,3.069,2.640,3021.080,1735752
PQSDC(Pr=4),2401.086,4074228,1414307840,3.069,2.640,1675.038,3476552
PQSDC(Pr=6),1842.026,6127772,1414307840,3.069,2.640,1317.085,5192048
PQSDC(Pr=8),1455.041,8174616,1414307840,3.069,2.640,999.051,6936652
PQSDC(Pr=10),1206.075,10200420,1414307840,3.069,2.640,852.064,8669680
PQSDC(Pr=12),1164.060,12248144,1414307840,3.069,2.640,852.024,10385740
PQSDC(Pr=14),984.026,13523480,1414307840,3.069,2.640,688.001,12116752
PQSDC(Pr=16),954.024,15187484,1414307840,3.069,2.640,693.047,13864232
PQSDC(Pr=18),938.008,16843036,1414307840,3.069,2.640,681.083,15608576
PQSDC(Pr=20),888.011,18542292,1414307840,3.069,2.640,670.027,17309568
PQSDC(Pr=22),881.062,20197576,1414307840,3.069,2.640,699.003,18980608
PQSDC(Pr=24),862.079,21875376,1414307840,3.069,2.640,663.050,20683112
PQSDC(Pr=26),729.014,23381632,1414307840,3.069,2.640,560.028,22332156
PQSDC(Pr=28),734.079,23356004,1414307840,3.069,2.640,523.037,22290828
